,G18USSRCRU
7999,1
8875,11
8016,378
175,47
176,56
7059,99
8018,104
8019,37
7348,173
7077,171
7076,49
7089,32
7090,39
178,43
7345,88
7079,26
7047,130
7353,210
7095,179
7051,147
144,254
8043,179
7361,202
7362,27
4665,393
196,378
197,144
7352,332
7364,191
7358,236
177,108
222,11
219,169
218,254
8026,459
8029,248
225,5
8030,188
224,59
1063,623
7091,35
8023,68
7135,90
8035,20
8872,485
777,209
7147,399
238,727
7370,341
7670,129
7373,295
7374,507
7371,627
7379,609
7350,353
7381,773
7383,418
7166,748
7388,698
7393,590
7387,534
5967,360
5966,258
8028,86
7154,127
7014,490
8034,365
8652,491
8356,314
8005,72
8636,379
8641,384
7681,742
149,1170
8011,374
8046,458
7068,46
8458,335
8008,428
1042,530
1764,409
7146,292
8454,111
8033,80
8873,138
8007,41
147,24
8009,137
8014,383
8653,511
779,597
7382,449
1072,168
3712,499
3711,520
1070,450
162,405
6902,360
8013,373
7165,353
3710,201
7172,182
8634,290
7369,81
8876,0
7049,374
8044,560
7,44
7351,335
161,694
8874,132
7098,118
7668,8
1068,321
8639,56
7336,11
7380,60
7173,17
4580,146
1037,40
7060,62
7669,28
8010,54
194,8
4585,15
7018,174
1065,7
8455,428
8880,9
8633,30
8879,32
776,148
4582,47
8642,379
8012,13
4581,1
7349,0
8006,125
146,46
7677,2
236,0
7675,0
4578,9
7671,33
8650,381
7680,196
7015,4
7061,5
4579,56
7674,35
7363,60
8663,240
8635,228
7394,353
8665,29
7682,146
209,249
7017,108
7125,149
7679,76
8637,4
7016,202
7062,16
780,465
8355,306
7174,742
8659,33
8640,41
8638,6
7346,297
163,109
1089,66
217,339
164,254
1075,401
1051,226
7683,0
179,288
223,1
7664,0
159,744
8878,2
7359,0
8036,1
4573,10
4574,0
7676,2
7665,10
8658,0
4584,0
8655,95
8656,0
8654,0
7672,0
8651,5
4583,141
7673,0
4663,0
4664,0
8657,200
7678,173
8666,355
6901,7
8660,0
8779,32
8877,0
7900,26
6987,81
8783,0
8782,0
8781,23
4991,2
8784,0
8780,0
8052,1039
1098,1087
1099,533
781,289
246,137
8053,1096
247,95
1974,42
5968,40
3713,65
3714,21
1100,26
1101,31
248,367
2008,362
2006,518
2009,272
2012,684
2013,581
2007,358
2011,1073
2010,451
1102,630
1103,422
263,1242
1104,867
4963,923
3010,1231
252,1116
3009,68
3012,1135
3013,279
255,643
254,753
3011,1029
3014,400
1852,52
250,124
256,217
259,125
258,165
260,251
266,572
257,340
267,413
261,166
264,120
1855,77
268,65
1853,13
7000,569
262,485
2015,142
1970,167
1106,553
249,105
1854,6
1969,0
265,44
1107,0
1109,1948
1105,890
1108,972
251,135
253,1204
2014,551
1127,1301
270,1546
2018,1764
1113,1307
274,768
1117,642
2025,294
2026,454
1116,268
1111,446
1120,1012
2030,1120
1126,1425
1114,2020
1118,1215
2017,1498
2027,461
2024,363
2020,648
1119,1052
1122,1793
1124,1490
1125,1746
2022,772
2031,1033
279,792
4010,2001
278,716
272,1460
273,526
271,1125
2019,755
2029,1642
2021,783
2033,1558
2028,323
2016,1259
276,1961
1128,217
1115,1535
3924,1352
1123,1371
1129,894
4897,843
275,828
1112,778
280,1168
4011,1575
3923,1170
2932,277
4898,640
269,1158
1110,1643
2023,1337
2935,478
277,876
1130,1454
2032,2284
1121,847
2931,468
6873,15
3972,535
3971,611
8583,982
8584,2406
8496,328
8054,60
8722,850
8474,495
8467,870
8058,341
2034,378
8717,1230
281,589
8491,1489
8490,813
8479,251
8488,1223
8056,100
8497,612
4732,26
8483,52
2035,759
2036,264
8707,60
8711,50
8463,635
8486,44
8493,1243
8465,1671
8581,209
8468,335
8461,454
8475,1173
8720,0
8471,212
8059,821
8578,1250
8477,938
8715,97
8487,7
8579,1483
8472,1925
8580,2203
8473,0
8481,3
8482,57
8460,48
8710,96
8485,104
8713,101
8469,38
8600,2
4731,0
8057,9
8716,0
8464,6
8494,26
8721,223
8478,12
8709,63
8714,30
8708,1
8462,2114
8712,0
8724,69
8484,91
8582,0
8718,1747
8495,235
8719,65
