,G18USSRCRU
7659,503
7719,928
7229,1273
7211,1449
7210,1283
7231,1207
1348,573
7716,1406
7223,1930
7660,400
7448,205
7717,1994
7222,2258
7221,1039
8192,1436
7230,1777
7718,1486
4982,341
4981,122
7892,121
4986,347
4985,528
4980,15
7893,1283
7988,1462
7989,295
7990,1357
7991,823
7992,1497
7993,800
3751,686
1351,143
3753,234
1352,471
8515,446
634,679
4779,518
1353,197
3752,972
4780,628
1354,61
1355,54
1357,166
4782,78
4781,114
1356,162
635,262
1358,188
1362,59
4232,27
1360,86
1361,136
1359,81
1364,122
1363,169
1365,342
1366,110
637,144
636,223
3754,228
6643,171
638,69
639,47
803,63
6642,16
6644,51
3756,541
3755,144
4234,1256
4235,168
4236,614
1367,181
1368,292
1369,181
1370,1060
4233,1299
1371,326
3758,1177
3757,676
6934,417
6935,94
4239,492
4241,327
3760,1005
3759,101
3761,1295
4801,147
6646,2719
4243,1236
4245,1158
4248,599
4251,786
4246,325
6645,926
4249,1493
4244,415
4253,621
4254,289
4256,417
4255,100
4802,78
4240,195
4250,445
6933,307
4259,408
4238,287
4247,492
4242,210
805,171
4260,188
804,297
4258,72
4252,372
4237,261
6936,81
3914,214
4257,103
641,67
643,240
642,187
640,110
8585,1277
660,1563
4803,1837
4805,1611
661,1973
4804,1616
659,1686
1833,1499
6964,880
1790,1324
647,977
649,778
654,146
806,779
655,583
4819,772
4817,879
4818,1041
650,610
4822,238
1834,822
807,531
3762,68
808,177
658,1446
3763,311
809,150
1835,33
657,271
653,224
652,686
656,273
4821,210
4820,376
651,1792
1832,300
646,595
1836,724
1792,524
1837,1804
1791,900
1831,789
648,1244
1838,435
644,839
662,936
1829,1398
1830,658
645,437
3764,223
3765,338
3766,361
665,243
3768,995
668,669
667,560
669,891
670,682
666,395
3767,817
6968,258
1861,478
6969,859
1862,649
1863,413
1864,361
1865,788
1866,513
1867,225
1868,588
1869,441
1870,358
1871,739
1872,438
663,307
1874,237
1873,36
1875,287
675,10
671,104
1876,233
1877,318
676,34
1879,307
1878,121
677,87
1881,127
1880,36
1882,51
1883,60
6970,80
6971,517
1884,886
1885,530
1886,170
1887,516
1888,175
1889,230
4862,574
1890,374
1891,266
1892,328
1893,203
1894,389
1895,403
1896,211
4863,264
4864,253
690,553
1900,253
1902,135
1897,193
4865,197
4866,80
1903,200
691,206
678,59
1906,328
1904,203
1907,177
1908,107
1909,89
679,117
1910,189
1911,109
1912,182
1913,106
4261,39
6973,59
6972,26
693,125
6975,66
6974,125
1914,75
4867,67
4868,0
1915,119
1917,256
1918,319
1919,128
1921,520
1923,202
697,357
1925,441
1924,562
696,274
1926,410
4869,147
4871,385
1934,448
1935,274
1936,402
1937,459
1933,385
672,347
1944,314
1943,426
673,296
4878,410
4876,196
4877,254
1953,267
1954,372
674,557
1950,689
1955,348
1956,315
1957,333
1952,328
1958,193
1959,370
1960,248
1961,229
3771,460
3772,644
4880,47
4882,681
692,386
3770,411
3777,179
1929,27
1928,156
1930,119
1931,124
1932,95
1927,95
1938,119
1939,185
1940,84
4872,84
4870,57
4873,139
1942,165
4879,151
1941,69
4875,117
4874,152
1945,187
1946,104
1947,101
681,78
1966,163
682,131
683,71
680,155
1965,100
3769,1555
1962,89
684,165
688,71
685,185
689,198
686,244
687,154
694,406
3773,160
1963,397
1964,358
3775,401
6977,252
3776,277
6976,142
1920,1
1922,20
664,210
1968,124
4883,211
1948,16
3774,80
4881,308
695,133
1967,0
6978,0
1901,167
1899,111
1905,0
1898,16
1916,5
1949,0
1951,0
4263,384
4266,162
4264,593
4269,925
4262,622
4272,520
4273,573
4271,206
4270,401
4274,385
4276,346
700,621
4268,688
4267,262
4277,608
7824,30
699,393
698,1042
4265,570
4278,261
4275,463
4280,160
5004,352
4279,272
4282,244
4285,19
4281,74
4283,270
4284,110
4288,332
4287,357
5005,398
4286,361
5003,266
703,531
3778,591
3779,228
707,485
709,256
1373,327
1372,227
4289,432
705,1079
701,1119
708,580
1374,339
702,403
4290,163
704,1127
706,682
4292,101
7244,221
7243,436
7245,148
4295,254
4296,348
4297,213
4294,148
6647,347
6649,234
6648,198
6650,304
4299,143
4300,193
4301,695
4302,249
4291,443
4293,893
4304,351
4298,415
4306,140
4307,99
4309,140
4308,148
4303,1077
4305,289
4310,303
4313,332
4311,228
4312,276
1376,536
1379,54
1375,437
1378,244
1377,89
1988,34
8197,50
8196,104
8198,80
8199,87
4325,752
1382,215
710,173
8803,1830
8522,424
4336,1835
8524,526
8520,785
6653,527
4329,883
4333,416
6651,423
8519,1133
8237,679
4328,155
4338,243
8523,123
3780,116
4331,549
4335,239
4337,46
4327,452
8213,783
8771,955
4332,854
1383,797
6903,1
6652,1544
8516,2086
8646,273
8235,180
8517,1919
4339,1330
8228,1458
711,495
6996,1046
8518,529
8855,64
8854,659
4596,816
1385,67
4315,1113
1389,109
1388,74
4341,179
8222,126
1397,28
2155,91
4343,75
4345,49
4340,53
1386,21
1394,83
4344,93
721,339
8521,1125
4324,402
714,313
4346,75
724,131
725,78
4347,184
719,387
1396,32
1392,246
1391,124
717,179
716,59
726,343
7730,560
5006,393
8211,363
8214,474
8238,683
723,26
1395,212
1384,57
1387,41
4342,72
722,77
1399,49
1398,4
8804,489
8856,744
8201,1514
8243,1705
8236,2979
720,1426
8204,2035
4334,454
8210,401
8202,1722
1380,872
4314,0
8525,1572
1381,1498
4316,144
8215,717
8239,802
4322,460
4323,1984
8212,375
8200,1649
8207,1515
8203,1544
8217,1471
8240,1317
8241,1920
8242,1605
8807,776
8808,1747
8805,2894
8809,2546
8806,938
8858,1104
8859,792
8857,404
8218,577
4320,1265
8224,946
7767,0
1390,728
4319,823
1393,993
4321,453
6926,177
8226,465
8231,922
4330,455
712,873
8233,223
715,631
8244,932
713,338
8245,1230
6925,101
8673,129
8225,346
4317,2025
8232,490
8209,346
8230,507
8208,515
8205,841
8220,727
4326,410
6924,974
8219,1248
8206,163
8221,765
8223,719
8216,696
718,704
8227,1623
8234,624
8229,1503
4318,1063
6997,615
8860,324
8861,317
1400,541
4348,269
727,327
4890,387
1401,413
5008,339
5007,629
5009,395
728,1397
5013,569
6654,83
1404,225
1402,864
5016,280
1403,296
729,283
5015,246
6655,206
5010,202
5017,62
5012,173
5011,219
5014,138
6656,207
6657,78
5018,49
7572,318
6659,212
6660,180
6658,126
3782,189
3781,277
5020,764
5019,1135
4799,455
5024,129
5021,80
5025,102
5023,377
5022,275
8247,557
8248,430
1986,83
6663,663
736,844
732,900
1406,1109
6662,783
8526,1211
757,1972
8246,1221
6665,1802
8527,1098
4353,2191
8528,0
3938,1
761,1177
6664,221
3935,207
6667,972
733,273
731,848
738,625
6672,1780
745,965
3937,766
3989,889
6669,1415
6671,874
737,1371
742,1594
4001,521
4350,1049
740,2687
5026,411
5027,187
744,688
746,1140
747,1243
4351,569
750,141
743,87
3993,1129
734,255
1410,975
1985,39
730,75
751,7
1408,459
1405,626
3990,316
753,410
748,241
6676,100
754,225
752,625
6678,29
735,263
1407,310
6661,39
6668,144
6674,97
3999,27
3936,7
6666,101
4000,54
755,0
6675,1266
6679,1791
2157,1478
758,664
2158,1704
760,2031
759,2503
4352,1750
756,2237
2156,1208
6673,780
4349,96
741,2264
749,1462
6680,1813
3939,151
3991,0
3994,0
3995,0
6670,237
3998,0
1409,0
6677,0
739,76
3992,12
5029,256
5031,360
5028,201
5030,122
1411,60
5032,69
4598,1144
4597,562
1413,513
4599,1273
1415,938
1421,363
1417,1515
1412,185
1418,118
1416,485
1414,1289
1419,1070
1420,435
810,161
6681,103
1423,110
1422,139
1425,273
1428,228
1424,288
1426,87
1427,359
1431,365
1429,186
1432,339
1430,201
5033,1005
5038,517
5037,517
1435,282
1436,214
1434,164
1433,290
1438,215
5039,133
5036,78
5040,165
5034,49
5035,184
1437,361
6683,189
6685,1067
6684,83
6682,367
6687,1387
6686,1424
6688,729
6967,888
5042,344
5041,261
5043,485
2159,2469
1441,1151
1440,944
4452,797
1442,1098
3784,1123
4456,229
6872,463
3786,1759
1443,604
1449,488
1450,592
5044,563
1451,955
3783,545
1439,1841
4453,457
3,1034
4454,675
1445,1851
1446,946
1448,554
1447,342
4457,343
4459,900
4458,1360
4460,1628
3785,159
1444,1342
4461,36
6870,622
4455,1807
5055,673
5056,1525
1453,1371
929,1591
6689,1572
5045,1144
5047,1338
5057,1742
5058,1752
5049,1185
5046,1721
5048,2111
1452,1031
930,1923
7845,376
5051,1719
5050,160
5052,830
5053,229
5054,259
5059,317
8249,982
8529,414
3866,152
7248,622
7449,619
5061,615
1456,469
7246,223
7247,187
8250,758
5060,134
3865,377
1454,704
1455,243
7742,262
7769,410
7754,328
7753,268
1458,1163
5069,1294
6691,555
6692,265
6693,250
5068,87
7771,30
7745,59
7761,382
7774,276
7758,149
7773,981
8678,1746
7743,22
5066,822
7755,545
7775,62
7776,20
7746,0
7744,2
7772,90
7759,11
7756,11
5062,119
5073,134
5064,45
5072,251
8254,485
1457,356
4952,147
8670,1414
5065,89
5071,256
5070,38
7770,34
8679,818
4691,274
7777,378
7757,29
5063,29
7749,15
7748,25
7747,19
7752,11
7751,0
6690,75
4951,10
7750,1
7760,103
8676,1002
8530,1227
8251,519
8672,1385
8252,1316
8253,1436
8883,1397
8884,808
8532,653
8675,521
8671,755
8677,934
3787,889
5067,1022
1459,867
8533,1544
8531,1191
7762,56
8885,1171
1461,126
4354,34
5075,65
5074,120
7861,52
1462,193
4357,223
1460,312
5080,32
5077,59
4355,132
5081,16
5079,11
1465,86
1467,314
7249,124
5082,332
4356,525
5084,13
5083,106
5078,21
1466,374
5085,66
7250,463
4358,142
4360,569
4359,303
5076,247
1464,102
1463,198
4361,136
5087,41
5086,191
8255,57
5088,133
5089,160
1468,89
1470,476
1473,55
1472,82
1476,663
8931,115
1474,124
8256,106
1471,100
8932,85
1475,503
1469,486
4362,349
4363,22
1478,155
1477,314
1479,273
1480,350
1482,29
1481,60
4364,265
4365,220
8258,217
8257,271
1484,569
1488,2095
1492,293
1494,394
1495,314
1486,2106
1483,403
1497,386
1490,1031
1491,1044
1489,430
1485,457
1499,1169
1500,704
1493,897
1498,1062
1487,600
7862,2923
1496,514
6259,478
6260,308
6261,331
6262,343
6278,291
6281,912
5105,17
2170,427
4374,187
1519,158
4381,136
1524,110
5127,856
1536,532
2204,956
2205,393
1549,250
1550,393
2189,208
4464,256
1564,112
2217,166
1578,24
2216,54
1579,16
1563,192
1520,305
1534,901
2227,271
3113,446
1596,38
3038,498
2247,627
3868,317
6129,1
1603,277
3872,448
6849,540
6848,417
4491,135
7399,311
4404,10
3067,378
6217,158
6219,477
7488,187
6851,38
4373,48
7259,1354
7493,960
5108,667
4366,561
2248,666
4376,427
4370,531
2190,488
1622,717
4375,743
1525,651
6850,361
5129,194
6703,182
7458,745
1542,158
1541,146
6709,79
1552,216
1569,45
4383,78
4368,1293
4377,1356
1551,263
2224,461
2225,1751
2191,427
6111,557
4997,1
6132,184
6707,213
6167,298
6042,243
7482,1301
5155,665
6200,473
1617,37
4384,845
6040,1006
8265,294
1620,361
5161,1683
3083,482
3099,934
6107,378
1529,36
5131,1053
7916,137
2207,1895
6045,1403
6069,307
6068,258
6090,58
6023,151
7472,1189
5145,33
2237,217
6134,37
6135,102
6139,706
2249,36
6007,987
5091,2095
6187,1060
6004,698
6141,1742
6218,55
5146,1517
6188,251
6991,936
6204,2148
5128,1171
6282,299
6223,34
3869,168
2160,2644
6244,634
7260,1843
6250,654
3101,796
3106,1582
2161,986
6697,202
1513,37
2178,888
2182,296
4395,1154
1532,66
7919,762
2880,32
6846,846
1544,241
2198,146
2200,86
7464,1350
2195,14
1505,20
1535,454
6267,199
6221,544
6205,1901
6237,21
1558,19
1588,215
6133,166
1568,199
6074,1504
6095,88
6284,55
1573,36
6263,65
7490,8
6712,22
6169,130
6186,380
6713,16
6115,759
3041,222
4495,1
3034,12
2252,40
6144,341
3033,32
4399,78
6150,1920
6172,1308
3081,738
3103,363
4391,488
5133,751
6014,407
1595,58
4388,218
3060,1137
2179,932
6072,107
1608,241
6845,38
1539,23
6175,180
6192,479
5158,217
6206,133
6224,48
1566,15
6715,305
6110,63
1615,13
1590,42
1565,6
7256,1672
4367,973
6847,12
1623,11
1553,62
6015,1063
6226,31
6239,417
3077,199
6719,256
5143,0
6714,200
2199,401
1557,98
5151,1702
6251,624
2180,753
3089,56
4389,1076
1581,315
1597,84
7457,529
6108,429
4463,708
2241,327
1548,543
5144,611
1577,223
4394,789
1543,33
6114,83
1574,25
4393,204
3073,568
4390,1125
5111,1895
1606,20
6008,39
6011,27
6010,24
1507,43
1582,41
7476,262
6265,290
1528,5
5095,727
7478,1386
6695,1373
1618,21
6070,135
8263,763
6702,15
7459,105
4397,32
1514,27
2234,109
2209,569
5120,514
3039,278
3074,1469
1527,40
5142,326
2185,147
6171,1069
7569,1671
5136,707
2162,1509
3047,314
2176,200
3102,758
2202,1045
6051,1026
2878,44
6268,294
3088,1214
5149,800
3046,123
1508,23
2175,242
6264,521
6143,511
2220,175
3050,583
6078,588
7923,371
2169,567
2226,94
6099,150
4466,493
1510,19
2183,235
6222,619
1591,265
6098,71
1537,403
1583,13
1572,16
6120,443
6121,287
1592,567
6216,165
3042,2532
6147,341
6199,695
3078,1657
2171,703
3069,676
3043,809
6243,1208
2194,137
3068,1716
1533,541
3052,582
1,926
2210,12
7492,1692
3055,540
1621,454
1601,131
4468,121
1511,69
1611,229
1612,258
6053,133
3076,306
6088,967
3075,187
3063,118
1624,35
2228,173
2230,223
6197,470
7917,817
7924,150
8268,1336
6266,58
5162,133
6696,290
2218,55
6209,548
3095,167
7257,1610
6137,124
7475,77
1567,191
3090,24
6254,123
6093,0
3064,961
2243,625
3092,377
1619,492
6046,2233
6100,1472
6272,340
6168,398
6698,82
1522,863
2166,1494
4396,105
1516,110
4379,831
6718,81
8259,1961
6198,742
6016,621
3062,88
2186,257
3086,118
5139,121
7462,45
6153,1892
6236,6
6034,63
4467,4
3058,73
1545,334
6271,353
8264,1242
2211,526
1530,117
7461,1361
6031,516
6043,308
6189,291
6035,319
2163,1043
1559,1224
7460,1358
7452,1395
1580,61
1616,105
3051,622
1512,12
6058,238
6190,97
6082,740
6084,41
7451,102
6094,833
5090,461
5130,937
6170,53
6694,68
1602,524
6146,515
7918,1626
4407,7
6176,1202
1610,194
6092,166
7477,71
1515,213
6706,6
5140,625
8925,1208
6240,939
6080,849
1594,489
2233,497
4378,744
1506,2347
6992,538
762,64
1526,97
6013,326
2221,71
3035,311
3053,165
6210,600
6160,282
5121,112
6252,295
6055,129
6123,36
6065,480
2203,1215
3105,1184
6161,807
6203,1460
2173,1393
2196,1423
5152,711
6162,2096
5148,311
5134,1060
5135,665
3059,37
7927,1620
6191,1010
6230,5
6096,319
6179,1369
7400,1453
6064,248
4398,33
4406,30
7453,798
6128,0
6711,54
3056,1767
6253,376
6027,1512
6012,589
5132,590
4492,725
3871,742
7487,1094
5137,127
3079,395
6207,1485
5110,460
6118,974
1556,226
2244,736
6036,995
6081,340
6125,594
4493,1528
6274,1361
6275,1587
3112,1117
7479,1398
6700,1495
6025,1121
6246,1269
6149,1490
6276,1903
6227,452
6159,313
6006,253
1584,351
5112,576
2165,590
7929,560
2251,140
2231,979
6233,315
4380,39
6052,398
3107,1043
6002,1247
4371,436
4004,1117
4999,1122
6202,874
6032,810
3066,288
6122,170
5100,606
5115,1586
5118,741
7920,2155
5163,721
6003,1278
4462,1558
6181,1540
6140,645
6195,747
3109,1147
6245,1008
6228,254
6017,668
6103,1225
6075,988
6019,467
6057,372
2246,71
6041,68
6704,2
6142,1767
4382,77
7473,964
5113,332
6071,189
6255,1425
6155,44
6130,847
6021,1527
1607,12
7930,380
6716,369
4465,327
3108,81
6131,175
4497,11
6126,1035
7931,1289
5122,890
5096,446
2145,136
3867,481
7485,2162
6183,1935
6102,420
6119,144
6097,128
1547,205
6208,350
6030,608
5093,434
1540,81
8266,811
6720,36
6269,1320
2245,318
4401,70
6152,308
6079,296
3044,1276
6054,971
6173,211
1575,181
2164,607
1509,10
1589,20
6182,996
2253,72
5159,590
6193,708
3071,66
4408,18
4403,15
4405,42
1554,23
2235,32
5106,54
7252,1074
6231,394
7253,1354
6124,728
6256,1030
1576,198
6235,134
5102,818
6049,327
1609,93
6280,606
5124,495
7922,762
7255,467
8262,616
7466,1737
6164,535
5160,1314
6044,1617
4392,404
2208,9
2177,24
1614,54
5103,1287
3072,335
5104,44
3065,1512
5097,180
5092,584
6214,564
7480,1294
6157,558
5116,678
5117,2031
6212,868
6024,229
6073,1200
6005,1153
7921,310
6083,550
6201,1236
1517,342
6232,349
5099,20
6699,211
2187,1018
6717,1
6701,1605
7251,821
7258,1305
7254,2553
3040,296
2223,74
8267,1036
7491,952
3087,1091
5123,858
5126,859
8261,1243
6026,824
6018,297
6158,458
7489,1313
2168,509
5125,1565
6050,949
6033,229
5000,44
6257,1314
3085,1096
6085,67
6229,241
6059,865
7463,2057
5098,158
6109,1038
6151,1909
6089,652
1521,209
5107,1157
7940,0
6037,904
7484,1120
6180,1385
5153,1572
2144,805
7455,1165
6077,1352
6270,1777
6258,0
7933,439
1523,126
7939,102
3091,1269
3094,32
6279,17
6117,1628
2236,24
7932,1061
2172,52
1600,16
2232,1046
6154,1933
6056,468
6022,1592
7941,1776
6242,1107
4402,78
7942,381
5109,416
6145,512
5138,368
4490,156
2213,842
6067,678
2219,85
6136,22
6241,825
6220,1478
7474,38
7911,496
6174,230
6076,59
7494,1109
4369,599
6194,1034
6156,614
2188,411
1587,42
3093,277
6116,885
3080,117
3098,1743
1546,330
5114,1648
3100,1015
1585,142
6215,175
3048,334
6273,403
6249,1198
5101,275
2214,262
6178,124
5141,851
7936,835
3037,603
5154,21
6248,1618
6184,134
765,1
7450,15
7469,94
7456,455
7454,170
7935,238
5001,1045
4372,23
1561,657
2215,801
2212,129
6039,755
3084,269
3045,24
3082,175
8260,1968
2242,457
7594,95
7595,23
2184,782
6165,249
6213,300
6066,1844
5094,793
6047,1032
6127,744
7938,620
2229,129
7465,1413
6029,646
2206,33
7468,15
6061,1145
6185,9
4386,40
6101,224
6028,1964
6211,569
6020,32
1599,6
7600,865
5150,58
6148,0
1613,66
1593,79
6277,486
3110,693
7944,17
1504,14
6993,860
3061,118
2239,54
7596,2
4529,833
6994,400
4532,2
2174,192
4387,551
6091,58
2238,133
7945,545
6062,0
1531,112
5156,10
7495,1245
2181,40
3870,5
7467,1780
6196,1488
6163,1336
7943,797
10,130
1598,39
6225,18
1538,10
4385,26
1562,0
763,722
6038,400
2193,0
3057,5
7925,1952
6166,52
3049,44
2192,0
1605,54
6009,31
6247,713
1604,226
7593,4
3104,94
2201,98
6177,938
2222,19
2240,0
4545,3
6238,27
3070,1
7599,18
4536,27
7910,10
1555,0
6113,0
3036,79
7486,289
7934,365
1586,531
4543,118
3097,0
3111,86
3096,8
5157,230
6048,281
2197,284
4400,43
7481,1352
4496,0
4494,1303
6852,7
2250,4
1518,0
6705,0
1571,5
6060,91
6708,0
6283,132
7926,1193
1570,15
2167,207
6710,0
764,0
2879,0
6234,241
3054,30
6063,0
1560,1
6112,6
5119,84
7483,1386
6086,923
7470,1567
4,702
7598,606
6087,505
7471,1109
6104,740
7937,600
6105,318
6106,23
7568,856
1773,196
1774,101
7947,306
6882,29
7608,240
4546,290
4547,131
4522,0
6138,123
6877,197
1769,327
7576,462
6881,314
8802,431
4514,1
7577,0
7578,754
7928,1065
6874,0
4515,145
7579,11
4516,2
2937,0
4517,0
1767,21
7580,171
6875,447
7601,25
4996,6
4518,0
7581,1323
4542,4
7597,1
7582,0
4531,25
4535,4
1768,0
7583,1674
6999,0
7584,0
7585,425
7586,511
2938,0
2939,0
2940,12
2941,30
2942,0
2943,80
7906,3
7587,6
7588,7
4519,0
4520,23
6876,0
4544,1
4533,146
4521,71
7912,56
4539,0
7609,1
7610,2
7611,226
7612,0
4548,63
7613,0
4549,24
7614,24
4541,0
4538,0
7948,2644
7615,0
4550,31
7616,82
2946,0
6885,157
7602,136
4551,7
7617,116
7618,1328
7619,84
7620,108
4552,12
7621,115
2947,7
7622,24
4530,0
4534,0
5147,352
4537,0
4553,54
7623,120
6886,82
4540,0
7946,0
4554,598
7592,0
7624,1968
7625,37
4555,9
4556,89
1775,23
2948,40
4557,55
4995,0
4527,5
2949,0
4558,218
4998,0
4559,20
4560,75
1776,203
3892,62
4561,19
7915,0
6887,20
4562,140
7590,84
6880,0
4523,172
6990,0
4524,0
7591,175
4525,507
5002,0
4526,62
1772,8
4528,189
2255,830
2259,275
2256,62
2146,522
7497,426
2263,620
2265,393
2261,1127
4957,529
2254,477
2258,179
2266,2234
2267,756
7496,616
2268,567
2272,280
7498,411
3788,397
2260,1410
2262,988
2264,276
2257,338
2271,301
2269,263
2270,1696
4958,253
2274,159
2276,100
2273,135
2275,295
2278,437
2277,341
1626,205
1625,284
1629,205
1627,96
1630,140
1628,142
7499,49
2279,53
2280,108
2281,78
8269,445
2285,52
7731,228
2282,493
2283,475
6918,460
2289,1164
2290,855
2293,1153
6916,479
2296,2102
4656,608
2295,924
2294,1558
2291,238
4657,446
4658,789
1631,183
4653,490
4654,13
8649,0
8270,1215
8271,365
6913,53
6914,18
2286,234
6912,580
1633,1577
2284,306
8272,1306
1632,852
1634,2004
6911,527
2288,92
2287,128
6915,205
6919,16
4655,486
6917,2
2292,508
4659,281
2297,22
1635,831
1636,1198
2298,874
1637,2005
1638,2341
6920,614
2299,1513
1639,230
1640,243
1641,19
2301,355
2302,30
1642,68
2300,195
2303,69
7763,283
2304,170
884,1360
2306,679
1647,719
2309,668
1644,928
1653,1243
1643,1974
1655,626
2305,835
7764,220
1649,484
2308,1185
1648,533
2307,1081
2310,633
2311,380
1657,684
1652,116
1656,234
1645,1491
1646,1235
1651,787
1650,1211
6922,637
1654,495
2338,45
2346,287
4769,98
6723,454
3792,132
2355,368
2365,529
2356,368
2368,534
2370,237
917,154
7844,45
2378,606
1661,165
963,85
2389,182
4783,199
7831,30
2393,49
935,61
1978,45
2398,58
4784,210
2396,45
4757,398
1662,63
1663,67
812,263
921,146
2407,452
2409,240
2410,285
2388,185
2366,118
2357,308
7849,350
2314,113
928,596
2349,132
2339,128
2321,189
2400,379
2325,412
2402,60
965,272
974,36
2405,151
975,242
2327,270
4740,254
4738,127
2330,807
2383,702
4792,337
942,242
954,288
2323,77
2320,355
2317,153
2335,314
2412,176
2342,821
2406,69
2328,106
4753,121
2315,146
2353,353
925,376
2392,343
2322,140
3964,12
2333,185
2345,742
2332,132
2395,17
2403,12
3790,193
817,162
2390,95
2374,66
2334,783
2376,0
1658,819
1659,121
1660,340
7839,114
959,280
4789,306
2360,1
980,288
4760,107
2387,21
814,43
813,188
2350,208
2344,594
2313,266
815,393
2352,367
811,265
7842,283
2372,288
2371,635
2386,241
2408,449
2381,931
2380,342
2382,196
2379,290
956,92
2347,387
2324,113
2397,546
2358,840
2312,303
2331,201
2318,250
4761,247
2391,97
6722,224
2319,22
4749,221
3793,120
2411,293
7833,91
2326,221
2401,76
816,182
4791,46
4763,190
2329,0
3961,79
2351,11
2343,557
2369,290
2364,311
3791,8
2404,21
2367,51
2341,1
2363,11
2340,3
2337,1
2336,5
981,81
4756,82
6724,16
4796,7
938,3
7847,141
1977,27
1976,388
962,16
967,263
952,86
4955,180
2399,130
2384,391
940,29
4794,65
4754,252
4751,14
4752,17
3928,376
4787,167
4788,85
2362,157
1979,79
961,77
7830,46
4768,1
4758,8
4767,220
6721,69
2348,150
4766,119
3789,52
4759,10
960,29
7832,18
7850,335
914,43
7835,50
4790,12
4746,0
3962,13
922,279
2316,395
966,81
3959,66
3960,61
7851,41
973,43
920,330
976,207
3963,181
919,34
4739,70
2377,487
4798,462
4793,256
955,239
932,527
7843,96
7841,15
4755,144
7848,506
915,61
923,29
7827,109
4737,96
957,20
933,132
970,188
7825,13
926,75
924,100
7838,82
969,188
4786,5
968,89
977,76
964,26
936,7
937,160
2354,473
4785,86
2359,110
971,50
941,91
2375,0
934,244
951,72
927,155
2385,61
950,20
2394,324
4797,102
972,18
2361,7
7836,13
7834,100
939,19
4795,0
7840,25
7837,4
953,54
958,2
4765,1
4750,4
4762,57
7826,19
4764,36
916,9
2373,35
2415,386
2417,247
2414,888
2413,249
2416,172
2418,277
2420,110
2421,164
11,704
584,360
2419,1164
3114,545
2426,177
1664,151
2427,93
2424,178
2422,457
585,893
2425,716
4498,195
2428,488
2423,313
3933,347
7261,355
8273,190
2429,913
1765,695
6726,341
6725,552
6727,52
1665,59
3932,72
2431,169
7262,297
2430,545
8274,257
978,719
2433,1412
6932,1289
1668,991
1667,1090
2432,416
2435,1380
1670,2067
1672,2462
2434,703
1666,667
1669,1755
1674,1573
1671,179
1673,3387
1675,924
1680,516
1684,653
1677,614
2439,233
1683,130
2440,335
1687,163
1682,370
2441,458
2436,534
2438,532
1679,750
2437,288
1688,132
1686,363
1676,178
1681,308
2442,441
1685,662
1678,722
2443,385
1689,563
1690,244
979,711
2447,543
2446,432
2449,491
5164,200
1694,250
1695,149
1692,72
2450,75
2444,231
2448,128
2445,157
2451,173
1693,62
1696,273
5165,131
2452,153
1691,129
2454,241
2455,98
2456,79
2460,33
2462,21
2463,187
2464,523
2466,304
3913,41
4800,537
2459,489
2467,129
7863,0
2461,233
2468,252
2458,276
2453,37
2469,15
2470,0
3912,22
2465,563
2471,457
2472,78
4842,0
1697,181
2457,192
2476,82
2474,24
2473,257
2475,300
2477,191
1698,77
1699,104
4469,68
3794,66
7500,495
7503,559
7501,356
7504,466
7505,232
7508,531
7509,1061
1800,460
7502,564
7506,283
7510,294
2478,431
2479,467
2481,1275
1793,2320
2484,977
2483,756
2485,350
1795,793
2486,840
1700,538
1794,363
2488,1271
2480,976
2482,1266
2881,197
2489,628
1798,601
2490,199
1799,187
7507,189
1797,358
1796,212
2487,620
1702,906
1701,997
1707,1679
1703,145
1708,774
1704,681
1706,39
1705,633
2491,163
1709,150
5166,130
2882,193
2493,504
2492,528
2494,92
2496,428
2497,375
2495,571
8275,744
1710,926
1712,969
1713,161
1715,280
1711,227
1716,59
1714,245
7511,300
2498,24
2500,382
1717,476
2501,365
1718,83
1720,404
2502,203
1721,256
2505,919
2508,808
2504,246
2503,263
2509,228
1724,995
2507,1228
1723,128
2506,695
2499,999
1719,285
1722,517
2511,202
2513,128
6728,177
2510,74
2512,102
2531,68
2532,94
2530,53
2537,593
2539,375
2538,182
2545,297
2535,11
2546,1935
2542,47
6729,36
6730,8
4470,6
6731,31
2552,39
2549,18
2553,589
2555,20
2550,39
4471,45
5168,79
5171,820
5174,305
5176,224
5178,919
1841,877
5180,346
1842,154
5182,866
5181,601
4857,641
5184,97
4855,751
2529,36
4860,406
1728,654
1727,1039
1730,1063
2551,26
1845,1311
1846,61
1731,1105
2516,947
2518,149
1733,131
1734,131
2519,158
1736,51
1738,27
1737,122
1735,11
1742,6
1740,39
1744,13
1743,6
1726,1495
1745,11
5185,22
1725,16
2522,1275
2517,450
2540,1050
2536,31
2556,88
2525,879
5172,622
1843,115
766,703
1746,1227
2547,389
1732,40
5170,476
2524,1048
1851,1377
5167,46
2520,50
2533,30
5179,340
2541,758
4859,118
1741,10
2514,389
1729,557
2543,29
2544,84
2523,356
5173,72
5175,164
2534,51
2554,14
5177,365
5169,462
1739,48
2527,920
2548,187
2515,32
4861,0
2521,122
2528,80
2526,979
5183,1
1847,65
1850,17
1848,42
4856,18
4858,9
4854,1
1849,247
1844,96
4472,65
6732,145
3795,112
6733,85
3968,3
5186,58
3798,181
5189,488
5191,232
5193,33
3799,128
5195,671
5188,975
5194,78
3800,179
5190,113
5187,284
3804,38
5192,64
3796,271
3803,69
6734,258
3797,62
5196,124
3801,48
