CNTYVTD,VTDKEY,BlacklockR_18G_Sup Ct 2,KirklandD_18G_Sup Ct 2
"0292016",413,35,335
"0292017",414,47,284
"0292018",415,102,431
"0292019",416,72,464
"0292020",417,89,713
"0292021",418,155,749
"0292022",419,86,421
"0292023",420,240,1010
"0292024",421,174,550
"0292025",422,237,872
"0292026",423,309,776
"0292027",424,202,512
"0292028",425,334,904
"0292029",426,76,344
"0292030",427,84,414
"0292031",428,72,426
"0292032",429,35,164
"0292033",430,40,173
"0292034",431,55,212
"0292035",432,192,650
"0292036",433,369,732
"0292037",434,414,440
"0292038",435,286,535
"0292039A",436,124,568
"0292039B",437,0,0
"0292040",438,285,804
"0292041",439,285,949
"0292042",440,104,477
"0292043",441,116,566
"0292044",442,168,610
"0292045",443,234,947
"0292046",444,295,908
"0292047",445,241,648
"0292048",446,114,533
"0292049",447,320,894
"0292050",448,241,629
"0292051",449,77,185
"0292052",450,74,310
"0292053",451,93,412
"0292054",452,200,914
"0292055",453,278,991
"0292056",454,139,469
"0292057",455,190,661
"0292058",456,231,677
"0292059",457,221,679
"0292060",458,155,471
"0292061",459,205,344
"0292062",460,181,394
"0292063",461,718,430
"0292064",462,370,760
"0292065",463,655,1337
"0292066",464,1050,1150
"0292067",465,32,132
"0292068",466,977,1265
"0292069",467,436,919
"0292070",468,94,593
"0292071",469,40,195
"0292072",470,644,993
"0292073",471,140,382
"0292074",472,58,243
"0292075",473,44,283
"0292076",474,558,719
"0292077",475,555,738
"0292078",476,380,754
"0292079",477,22,186
"0292080",478,156,425
"0292081",479,120,289
"0292082",480,186,480
"0292083",481,76,316
"0292084",482,1123,960
"0292085",483,164,478
"0292086",484,721,1001
"0292087",485,529,530
"0292088",486,678,1261
"0292089",487,31,123
"0292090",488,211,588
"0292091",489,343,938
"0292092",490,85,133
"0292093",491,194,324
"0292094",492,69,53
"0292095",493,810,513
"0292096",494,261,720
"0292097",495,399,790
"0292098",496,191,402
"0292099",497,398,488
"0292100",498,186,393
"0292101",499,428,363
"0292102",500,599,825
"0292103",501,12,88
"0292104",502,13,89
"0292105",503,35,181
"0292106",504,70,153
"0292107",505,528,852
"0292108",506,353,350
"0292109",507,0,3
"0292110",508,244,356
"0292111",509,171,344
"0292112",510,360,558
"0292113",511,11,23
"0292114",512,313,686
"0292115",513,1156,1139
"0292116",514,0,2
"0292117",515,33,210
"0292118",516,0,13
"0292119",517,64,160
"0292120",518,225,301
"0292121",519,84,134
"0292122",520,154,525
"0292123",521,552,525
"0292124",522,179,244
"0292125",523,321,429
"0292126",524,237,399
"0292127",525,575,804
"0292128",526,134,623
"0292129",527,1,2
"0292130",528,410,689
"0292131",529,56,124
"0292132",530,0,1
"0292133",531,79,105
"0292134",532,152,374
"0292135",533,72,205
"0292136",534,908,1182
"0292137",535,192,354
"0292138",536,169,307
"0292139",537,458,568
