CNTYVTD,VTDKEY,SlaughterR_18G_CCA 8,AshL_18G_CCA 8
"0294035",813,5,8
"0294036",814,266,350
"0294037",815,96,154
"0294038",816,845,527
"0294039",817,63,139
"0294040",818,104,128
"0294041",819,119,213
"0294042",820,26,14
"0294043",821,566,411
"0294044",822,248,155
"0294045",823,476,311
"0294046",824,911,286
"0294047",825,441,265
"0294048",826,187,206
"0294049",827,362,255
"0294050",828,594,173
"0294051",829,722,218
"0294052",830,672,224
"0294053",831,396,234
"0294054",832,925,408
"0294055",833,475,146
"0294056",834,827,354
"0294057",835,773,168
"0294058",836,636,166
"0294059",837,621,278
"0294060",838,411,189
"0294061",839,327,205
"0294062",840,102,76
"0294063",841,149,85
"0294064",842,567,197
"0294065",843,485,454
"0294066",844,578,404
"0294067",845,371,150
"0294068",846,84,56
"0294069",847,395,97
"0294070",848,503,423
"0294071",849,762,68
"0294072",850,1243,201
"0294073",851,430,158
"0294074",852,505,176
"0294075",853,82,87
"0294076",854,431,340
"0294077",855,537,313
"0294078",856,550,74
"0294079",857,446,145
"0294080",858,354,189
"0294081",859,124,45
"0294082",860,119,149
"0294083",861,163,101
"0294084",862,57,38
"0294085",863,12,0
"0294086",864,140,40
"0294087",865,476,285
"0294088",866,633,417
"0294089",867,710,323
"0294090",868,499,261
"0294091",869,223,169
"0294092",870,562,171
"0294093",871,621,316
"0294094",872,508,227
"0294095",873,496,195
"0294096",874,459,250
"0294097",875,440,222
"0294098",876,422,223
"0294099",877,230,138
"0294100",878,230,149
"0294101",879,303,64
"0294102",880,111,96
"0294103",881,0,0
"0294104",882,445,205
"0294105",883,621,186
"0294106",884,66,46
"0294107",885,423,160
"0294108",886,833,416
"0294109",887,163,111
"0294110",888,190,231
"0294111",889,15,30
"0294112",890,367,74
"0294113",891,65,86
"0294114",892,12,6
"0294115",893,62,26
"0294116",894,17,6
"0294117",895,172,77
"0294118",896,42,2
"0294119",897,109,109
"0294120",898,32,28
"0294121",899,63,21
"0294122",900,14,18
"0294123",901,22,26
"0294124",902,197,192
"0294125",903,9,10
"0294126",904,468,121
"0294127",905,12,5
"0294128",906,39,38
"0294129",907,36,8
"0294130",908,190,86
"0294131",909,62,50
"0294132",910,478,320
"0294133",911,15,1
"0294134",912,2,2
"0294135",913,0,0
"0294136",914,135,24
"0294137",915,50,5
"0294138",916,2,2
"0294139",917,0,0
"0294140",918,0,0
"0294141",919,17,20
"0294142",920,48,60
"0294143",921,465,524
"0294144",922,213,43
"0294145",923,5,0
"0294146",924,9,1
"0294147",925,78,51
"0294148",926,43,25
"0294149",927,75,37
"0294150",928,286,192
"0294151",929,239,32
"0294152",930,408,237
"0294153",931,26,14
"0294154",932,177,89
"0294155",933,400,431
"0294156",934,149,141
"0294157",935,241,268
"0294158",936,95,93
"0294159",937,4,2
"0294160",938,257,200
"0294161",939,32,77
"0294162",940,545,262
"0294163",941,382,297
"0294164",942,840,235
"0294165",943,40,3
"0294166",944,52,36
"0294167",945,7,3
"0294168",946,361,272
"0294169",947,123,37
"0294170",948,73,55
"0294171",949,396,175
"0294172",950,312,156
"0294173",951,476,218
"0294174",952,284,162
"0294175",953,0,0
"0294176",954,347,119
"0294177",955,2,4
"0294178",956,0,0
"0294179",957,891,381
"0294180",958,2,0
"0294181",959,0,0
"0294182",960,1,0
"0294183",961,20,13
"0294184",962,0,5
"0294185",963,2,0
"0294186",964,19,26
"0294187",965,0,0
"0294188",966,0,0
"0294189",967,118,104
"0294190",968,0,1
"0294191",969,0,0
"0294192",970,0,0
"0294193",971,6,5
"0294194",972,148,63
"0294195",973,0,0
"0294196",974,0,0
"0294197",975,2,1
"0294198",976,243,219
"0294199",977,221,158
"0294200",978,484,326
"0294201",979,7,1
"0294202",980,0,0
"0294203",981,66,75
"0294204",982,1,0
"0294205",983,31,15
"0294206",984,103,58
"0294207",985,12,2
"0294208",986,0,0
"0294209",987,24,0
"0294210",988,2,4
"0294211",989,4,7
"0294212",990,2,0
"0294213",991,0,0
"0310102",992,1080,209
"0310201",993,1133,228
"0310302",994,572,140
"0310303",995,306,47
"0310304",996,139,33
"0310401",997,1130,230
"0330004A",998,51,2
"0330004B",999,29,1
"033001A",1000,33,3
"033001B",1001,49,2
"033002AA",1002,53,3
"033002AB",1003,14,0
"033002B",1004,26,2
"033003A",1005,14,0
"033003B",1006,36,0
"0350001",1007,380,25
"0350002",1008,366,45
"0350003",1009,521,61
"0350004",1010,265,24
"0350005",1011,706,110
"0350006",1012,599,84
"0350007",1013,367,33
"0350008A",1014,1131,115
"0350008B",1015,1,0
"0350009",1016,461,48
"0350010",1017,642,79
"0350011",1018,434,52
