CNTYVTD,VTDKEY,BushR_18G_Land Comm,SuazoD_18G_Land Comm,PinaL_18G_Land Comm
"2630202",5913,43,3,1
"2630301",5914,51,10,1
"2630302",5915,21,1,0
"2630401",5916,61,6,2
"2650101",5917,1399,325,67
"2650107",5918,465,99,34
"2650109",5919,710,158,40
"2650113",5920,804,233,54
"2650118",5921,178,50,11
"2650119",5922,945,346,38
"2650202",5923,1100,210,69
"2650211",5924,461,158,24
"2650215",5925,1466,309,69
"2650220",5926,1520,282,45
"2650303",5927,541,112,13
"2650308",5928,240,83,17
"2650312",5929,1490,582,97
"2650314",5930,582,394,35
"2650404",5931,527,62,37
"2650405",5932,883,255,40
"2650406",5933,1500,334,76
"2650410",5934,165,12,5
"2650416",5935,849,183,35
"2650417",5936,837,221,38
"2670001",5937,339,50,24
"2670002",5938,161,26,3
"2670003",5939,132,14,9
"2670004",5940,178,19,9
"2670006",5941,166,18,9
"2670007",5942,201,19,14
"2670009",5943,245,42,15
"2690001",5944,31,1,1
"2690002",5945,20,0,0
"2690003",5946,32,1,1
"2690004",5947,32,6,1
"2710001",5948,252,57,10
"2710002",5949,149,91,15
"2710003",5950,99,96,10
"2710004",5951,282,57,19
"2730011",5952,553,330,36
"2730012",5953,416,218,19
"2730013",5954,304,368,17
"2730014",5955,100,104,6
"2730021",5956,41,87,4
"2730022",5957,223,215,26
"2730023",5958,213,305,16
"2730024",5959,287,258,13
"2730031",5960,412,250,22
"2730032",5961,261,232,19
"2730033",5962,262,129,14
"2730034",5963,210,100,12
"2730035",5964,324,196,22
"2730041",5965,49,135,7
"2730042",5966,93,215,5
"2730043",5967,304,345,28
"2730044",5968,85,133,8
"2730045",5969,82,232,8
"2750101",5970,254,52,11
"2750201",5971,87,18,4
"2750202",5972,117,28,1
"2750301",5973,159,38,3
"2750302",5974,33,5,4
"2750401",5975,187,67,6
"277001B",5976,130,11,2
"277001C",5977,141,23,5
"277001D",5978,270,33,6
"277001E",5979,364,61,14
"277001F",5980,427,53,8
"277001G",5981,227,31,9
"277001H",5982,293,28,1
"277001I",5983,51,8,0
"277002D",5984,277,61,9
"277002E",5985,280,44,7
"277002F",5986,101,13,3
"277002G",5987,292,69,9
"277003D",5988,409,33,9
"277003E",5989,644,62,20
"277003F",5990,269,34,5
"277003G",5991,289,29,8
"277003I",5992,640,83,29
"277004B",5993,831,110,24
"277004C",5994,144,25,8
"277004D",5995,765,51,21
"277004E",5996,331,47,14
"277004F",5997,797,134,29
"277004G",5998,990,130,29
"2771A3B",5999,264,127,12
"2771A5A",6000,367,251,20
"2771E7C",6001,459,113,19
"2772A1A",6002,140,310,9
"2772B2A",6003,158,303,13
"2772C3A",6004,366,245,20
"2773C7G",6005,1065,393,48
"2773H3C",6006,254,88,10
"2774A6E",6007,619,184,21
"2790001",6008,311,89,14
"2790002",6009,103,77,4
