CNTYVTD,VTDKEY,DevineR_18G_Sup Ct 4,SandillD_18G_Sup Ct 4
"0293141",702,298,429
"0293142",703,62,109
"0293143",704,419,459
"0293144",705,67,74
"0293145",706,1040,755
"0293146",707,756,1083
"0293147",708,682,782
"0293148",709,449,295
"0293149",710,262,1300
"0293150",711,8,8
"0293151",712,970,802
"0293152",713,256,510
"0293153",714,483,426
"0293154",715,705,384
"0293155",716,939,630
"0293156",717,10,7
"0293157",718,952,740
"0293158",719,27,17
"0293159",720,412,598
"0293160",721,522,375
"0293161",722,543,763
"0293162",723,293,372
"0293163",724,908,628
"0293164",725,759,416
"0293165",726,1259,891
"0293166",727,139,174
"0293167",728,4,2
"0293168",729,78,95
"0293169",730,47,28
"0293170",731,0,0
"0293171",732,0,1
"0293172",733,107,170
"0293173",734,1130,873
"0293174",735,1673,947
"0293175",736,190,197
"0293176",737,21,17
"0293177",738,0,0
"0293178",739,0,0
"0293179",740,1,1
"0293180",741,300,345
"0293181",742,812,472
"0293182",743,272,239
"0293183",744,9,1
"0293184",745,64,40
"0293185",746,126,113
"0293186",747,1,0
"0293187",748,0,0
"0293188",749,0,0
"0293189",750,284,324
"0293190",751,100,122
"0293191",752,80,49
"0293192",753,0,0
"0293193",754,72,49
"0293194",755,1310,689
"0293195",756,259,863
"0293196",757,6,3
"0293197",758,0,0
"0293198",759,211,191
"0293199A",760,1099,719
"0293199B",761,0,0
"0293200",762,0,0
"0293201",763,1550,811
"0293202",764,340,237
"0293203",765,186,111
"0293204",766,0,0
"0293205",767,0,0
"0293206A",768,8,52
"0293206B",769,0,0
"0293206C",770,0,0
"0293207",771,1,3
"0293208",772,12,27
"0293209",773,366,203
"0293210",774,579,482
"0294001",775,419,891
"0294002",776,50,261
"0294003",777,64,356
"0294004",778,106,297
"0294005",779,127,624
"0294006",780,47,230
"0294007A",781,183,183
"0294007B",782,0,0
"0294007C",783,0,0
"0294007D",784,0,0
"0294007E",785,0,0
"0294008",786,207,221
"0294009",787,52,248
"0294010",788,31,333
"0294011",789,46,400
"0294012",790,42,211
"0294013",791,93,283
"0294014",792,32,129
"0294015",793,133,646
"0294016",794,211,817
"0294017",795,217,887
"0294018",796,180,491
"0294019",797,250,712
"0294020",798,190,352
"0294021",799,214,301
"0294022",800,28,28
"0294023",801,397,665
"0294024",802,394,789
"0294025",803,153,345
"0294026",804,339,999
"0294027",805,205,512
"0294028",806,256,854
"0294029",807,117,687
"0294030",808,11,119
"0294031",809,164,514
"0294032",810,254,520
"0294033",811,465,909
"0294034",812,260,493
"0294035",813,5,15
"0294036",814,202,945
"0294037",815,61,505
"0294038",816,715,1017
"0294039",817,36,443
"0294040",818,75,408
"0294041",819,96,655
"0294042",820,21,26
"0294043",821,518,842
"0294044",822,217,372
"0294045",823,422,674
"0294046",824,811,630
"0294047",825,383,689
"0294048",826,147,543
"0294049",827,317,617
"0294050",828,523,376
"0294051",829,666,464
"0294052",830,625,527
"0294053",831,354,508
"0294054",832,823,997
"0294055",833,435,315
"0294056",834,755,735
"0294057",835,723,373
"0294058",836,603,361
"0294059",837,555,575
"0294060",838,361,522
"0294061",839,273,570
"0294062",840,88,203
"0294063",841,127,223
"0294064",842,514,564
"0294065",843,396,1087
"0294066",844,518,947
